Año,Puntos,Rel.,Abs.,Participantes,Oro,Plata,Bronce,MH
2024,46,22.43,84,6,0,0,1,2
2023,27,19.82,90,6,0,0,0,1
2022,27,14.56,89,6,0,0,0,2
2021,34,32.08,73,6,0,0,2,0
2020,71,39.42,64,6,0,0,1,5
2019,32,22.52,87,5,0,0,0,3
2018,48,33.96,71,6,0,0,0,3
2017,66,30,78,6,0,0,1,4
2016,38,24.07,83,6,0,0,0,2
2015,27,23.3,80,6,0,0,0,2
2014,19,12,89,6,0,0,0,2
2013,45,29.17,69,6,0,0,1,2
2012,47,29.29,71,6,0,0,1,2
2011,32,18,83,6,0,0,1,0
2010,39,20.21,76,6,0,0,1,1
2009,26,25.24,78,6,0,0,0,1
2008,26,15.63,82,6,0,0,0,1
2007,34,20.65,74,6,0,0,1,2
2006,40,22.47,70,6,0,0,1,2
2005,17,18.89,74,6,0,0,1,0
2004,14,4.76,81,6,0,0,0,1
2003,11,6.17,77,6,0,0,0,1
2002,3,2.41,82,6,0,0,0,0
2001,0,0,83,6,0,0,0,0
2000,19,9.88,74,6,0,0,0,0
,,,-0.18,80.82,,,,
